w_value,epoch,avg_loss,avg_loss_with_reg,avg_acc,avg_srpq,avg_reg,avg_w
0.001,1,0.019316,0.583293,0.952389,0.568942,0.563977,0.001000
0.001,2,0.016068,0.578365,0.961392,0.569898,0.562297,0.001000
0.001,3,0.014752,0.575094,0.960353,0.571014,0.560342,0.001000
0.001,4,0.014529,0.572794,0.956977,0.572201,0.558265,0.001000
0.001,5,0.014561,0.570645,0.957497,0.573451,0.556084,0.001000
0.001,6,0.014925,0.568804,0.961046,0.574716,0.553879,0.001000
0.001,7,0.015950,0.567706,0.961132,0.575938,0.551756,0.001000
0.001,8,0.015525,0.565309,0.961652,0.577074,0.549784,0.001000
0.001,9,0.015803,0.563711,0.961219,0.578158,0.547908,0.001000
0.001,10,0.016357,0.562443,0.960093,0.579212,0.546087,0.001000
0.001,11,0.016304,0.560587,0.961479,0.580258,0.544283,0.001000
0.001,12,0.015813,0.558325,0.963383,0.581286,0.542512,0.001000
0.001,13,0.015585,0.556436,0.963989,0.582253,0.540851,0.001000
0.001,14,0.015237,0.554573,0.963296,0.583135,0.539336,0.001000
0.001,15,0.014575,0.552491,0.963556,0.583964,0.537916,0.001000
0.001,16,0.013764,0.550298,0.965893,0.584772,0.536534,0.001000
0.001,17,0.013258,0.548398,0.965374,0.585587,0.535140,0.001000
0.001,18,0.013105,0.546810,0.965287,0.586429,0.533704,0.001000
0.001,19,0.012938,0.545138,0.965114,0.587312,0.532200,0.001000
0.001,20,0.012645,0.543266,0.966153,0.588240,0.530621,0.001000
0.001,21,0.012419,0.541387,0.967019,0.589212,0.528969,0.001000
0.001,22,0.012431,0.539686,0.965807,0.590223,0.527255,0.001000
0.001,23,0.012467,0.537964,0.966066,0.591261,0.525497,0.001000
0.001,24,0.012427,0.536139,0.966326,0.592318,0.523712,0.001000
0.001,25,0.012396,0.534307,0.967278,0.593386,0.521911,0.001000
0.001,26,0.012405,0.532521,0.968317,0.594452,0.520116,0.001000
0.001,27,0.012346,0.530694,0.968663,0.595504,0.518347,0.001000
0.001,28,0.012159,0.528774,0.968490,0.596537,0.516614,0.001000
0.001,29,0.011942,0.526833,0.968837,0.597565,0.514892,0.001000
0.001,30,0.011823,0.524973,0.969269,0.598607,0.513150,0.001000
0.002,1,0.014416,0.524787,0.968144,0.600273,0.510371,0.002000
0.002,2,0.013491,0.522579,0.967192,0.601044,0.509087,0.002000
0.002,3,0.012931,0.520187,0.969269,0.602146,0.507256,0.002000
0.002,4,0.012587,0.517629,0.969702,0.603480,0.505042,0.002000
0.002,5,0.012863,0.515668,0.969269,0.604832,0.502805,0.002000
0.002,6,0.012423,0.513160,0.969875,0.606084,0.500737,0.002000
0.002,7,0.011988,0.510717,0.970135,0.607302,0.498729,0.002000
0.002,8,0.011808,0.508466,0.970741,0.608561,0.496659,0.002000
0.002,9,0.011887,0.506361,0.970222,0.609891,0.494475,0.002000
0.002,10,0.011742,0.503969,0.970222,0.611264,0.492227,0.002000
0.002,11,0.011514,0.501463,0.970914,0.612658,0.489949,0.002000
0.002,12,0.011618,0.499269,0.971087,0.614067,0.487651,0.002000
0.002,13,0.011781,0.497158,0.972039,0.615465,0.485377,0.002000
0.002,14,0.011727,0.494898,0.971953,0.616824,0.483172,0.002000
0.002,15,0.011426,0.492475,0.971953,0.618134,0.481050,0.002000
0.002,16,0.011163,0.490134,0.972039,0.619420,0.478972,0.002000
0.002,17,0.011010,0.487901,0.972472,0.620710,0.476891,0.002000
0.002,18,0.010958,0.485732,0.973078,0.622026,0.474774,0.002000
0.002,19,0.010895,0.483501,0.973425,0.623376,0.472606,0.002000
0.002,20,0.010763,0.481152,0.973511,0.624759,0.470389,0.002000
0.002,21,0.010684,0.478818,0.973511,0.626170,0.468134,0.002000
0.002,22,0.010693,0.476560,0.973511,0.627591,0.465867,0.002000
0.002,23,0.010787,0.474400,0.973511,0.629007,0.463613,0.002000
0.002,24,0.010793,0.472189,0.973598,0.630403,0.461396,0.002000
0.002,25,0.010689,0.469911,0.973771,0.631775,0.459222,0.002000
0.002,26,0.010521,0.467601,0.973944,0.633130,0.457080,0.002000
0.002,27,0.010376,0.465328,0.974463,0.634479,0.454951,0.002000
0.002,28,0.010286,0.463103,0.974636,0.635835,0.452817,0.002000
0.002,29,0.010245,0.460912,0.974723,0.637203,0.450667,0.002000
0.002,30,0.010226,0.458722,0.974810,0.638587,0.448497,0.002000
0.004,1,0.014559,0.459560,0.974377,0.640824,0.445001,0.004000
0.004,2,0.013795,0.456833,0.973857,0.642082,0.443039,0.004000
0.004,3,0.013478,0.454305,0.973944,0.643504,0.440827,0.004000
0.004,4,0.013289,0.451815,0.974290,0.644986,0.438527,0.004000
0.004,5,0.013050,0.449239,0.974204,0.646495,0.436189,0.004000
0.004,6,0.012907,0.446732,0.973338,0.648026,0.433825,0.004000
0.004,7,0.012777,0.444207,0.973338,0.649580,0.431430,0.004000
0.004,8,0.012660,0.441666,0.973598,0.651156,0.429006,0.004000
0.004,9,0.012605,0.439185,0.973944,0.652738,0.426580,0.004000
0.004,10,0.012477,0.436668,0.974204,0.654299,0.424191,0.004000
0.004,11,0.012345,0.434162,0.974204,0.655854,0.421817,0.004000
0.004,12,0.012253,0.431689,0.973598,0.657418,0.419436,0.004000
0.004,13,0.012149,0.429207,0.973425,0.658983,0.417058,0.004000
0.004,14,0.012051,0.426734,0.974030,0.660550,0.414683,0.004000
0.004,15,0.011964,0.424261,0.974550,0.662127,0.412297,0.004000
0.004,16,0.011904,0.421821,0.974636,0.663705,0.409917,0.004000
0.004,17,0.011795,0.419367,0.974550,0.665264,0.407572,0.004000
0.004,18,0.011670,0.416912,0.974377,0.666815,0.405242,0.004000
0.004,19,0.011562,0.414475,0.974636,0.668371,0.402913,0.004000
0.004,20,0.011478,0.412054,0.974550,0.669934,0.400576,0.004000
0.004,21,0.011402,0.409637,0.974636,0.671504,0.398235,0.004000
0.004,22,0.011317,0.407224,0.974550,0.673069,0.395907,0.004000
0.004,23,0.011241,0.404836,0.974636,0.674627,0.393595,0.004000
0.004,24,0.011160,0.402452,0.974636,0.676183,0.391292,0.004000
0.004,25,0.011078,0.400071,0.974723,0.677739,0.388993,0.004000
0.004,26,0.010994,0.397700,0.974983,0.679291,0.386706,0.004000
0.004,27,0.010912,0.395344,0.974896,0.680838,0.384431,0.004000
0.004,28,0.010838,0.393003,0.974550,0.682383,0.382165,0.004000
0.004,29,0.010767,0.390672,0.974723,0.683926,0.379905,0.004000
0.004,30,0.010696,0.388345,0.975242,0.685471,0.377649,0.004000
0.008,1,0.017873,0.391499,0.974463,0.688235,0.373625,0.008000
0.008,2,0.017261,0.388954,0.973598,0.689566,0.371693,0.008000
0.008,3,0.016823,0.386570,0.973078,0.690910,0.369746,0.008000
0.008,4,0.016616,0.384348,0.974290,0.692303,0.367731,0.008000
0.008,5,0.016261,0.382006,0.974030,0.693680,0.365744,0.008000
0.008,6,0.015993,0.379746,0.973165,0.695063,0.363753,0.008000
0.008,7,0.015833,0.377552,0.972386,0.696478,0.361719,0.008000
0.008,8,0.015599,0.375258,0.972992,0.697915,0.359659,0.008000
0.008,9,0.015409,0.372999,0.973338,0.699360,0.357590,0.008000
0.008,10,0.015290,0.370816,0.972905,0.700805,0.355526,0.008000
0.008,11,0.015082,0.368562,0.972819,0.702240,0.353480,0.008000
0.008,12,0.014843,0.366292,0.973078,0.703668,0.351449,0.008000
0.008,13,0.014680,0.364098,0.973598,0.705098,0.349418,0.008000
0.008,14,0.014531,0.361915,0.973511,0.706534,0.347384,0.008000
0.008,15,0.014344,0.359693,0.973511,0.707973,0.345350,0.008000
0.008,16,0.014166,0.357481,0.973598,0.709415,0.343315,0.008000
0.008,17,0.014030,0.355315,0.973511,0.710856,0.341285,0.008000
0.008,18,0.013894,0.353162,0.973425,0.712292,0.339268,0.008000
0.008,19,0.013713,0.350981,0.973598,0.713718,0.337268,0.008000
0.008,20,0.013524,0.348805,0.973944,0.715137,0.335282,0.008000
0.008,21,0.013365,0.346670,0.974896,0.716552,0.333305,0.008000
0.008,22,0.013228,0.344557,0.974290,0.717969,0.331329,0.008000
0.008,23,0.013085,0.342436,0.974636,0.719391,0.329351,0.008000
0.008,24,0.012946,0.340318,0.974896,0.720816,0.327372,0.008000
0.008,25,0.012816,0.338213,0.974377,0.722241,0.325397,0.008000
0.008,26,0.012708,0.336138,0.974117,0.723663,0.323430,0.008000
0.008,27,0.012594,0.334071,0.974290,0.725077,0.321477,0.008000
0.008,28,0.012456,0.331996,0.974377,0.726483,0.319540,0.008000
0.008,29,0.012310,0.329927,0.974810,0.727882,0.317617,0.008000
0.008,30,0.012179,0.327880,0.975329,0.729278,0.315701,0.008000
0.016,1,0.023141,0.334074,0.972905,0.732763,0.310933,0.016000
0.016,2,0.022378,0.331448,0.972299,0.734129,0.309070,0.016000
0.016,3,0.021749,0.329011,0.971260,0.735458,0.307263,0.016000
0.016,4,0.021297,0.326681,0.970568,0.736840,0.305384,0.016000
0.016,5,0.020844,0.324341,0.970222,0.738232,0.303498,0.016000
0.016,6,0.020423,0.322029,0.969702,0.739630,0.301606,0.016000
0.016,7,0.020033,0.319736,0.969356,0.741038,0.299703,0.016000
0.016,8,0.019642,0.317448,0.969356,0.742446,0.297806,0.016000
0.016,9,0.019287,0.315198,0.970222,0.743854,0.295911,0.016000
