w_value,epoch,iter,loss0,reg,loss,acc,srpq
0.001,1,1,0.119731,0.562651,0.682382,0.956055,5.696965e-01
0.001,1,2,0.125071,0.561267,0.686338,0.950439,5.704859e-01
0.001,1,3,0.109453,0.561589,0.671042,0.964881,5.703019e-01
0.001,2,1,0.115228,0.560771,0.675998,0.957520,5.707691e-01
0.001,2,2,0.110435,0.560108,0.670543,0.968994,5.711476e-01
0.001,2,3,0.108066,0.559327,0.667393,0.960417,5.715937e-01
0.001,3,1,0.099910,0.558887,0.658797,0.966064,5.718450e-01
0.001,3,2,0.101151,0.558792,0.659943,0.957275,5.718997e-01
0.001,3,3,0.103771,0.557894,0.661664,0.951190,5.724135e-01
0.001,4,1,0.100085,0.557720,0.657805,0.961182,5.725131e-01
0.001,4,2,0.100188,0.557104,0.657292,0.956299,5.728655e-01
0.001,4,3,0.100858,0.556613,0.657471,0.952679,5.731471e-01
0.001,5,1,0.094250,0.556470,0.650720,0.959473,5.732290e-01
0.001,5,2,0.091662,0.555627,0.647289,0.961426,5.737124e-01
0.001,5,3,0.094826,0.555374,0.650200,0.961905,5.738577e-01
0.001,6,1,0.092923,0.554966,0.647889,0.961182,5.740918e-01
0.001,6,2,0.092712,0.554332,0.647044,0.959717,5.744556e-01
0.001,6,3,0.092933,0.554500,0.647433,0.961012,5.743592e-01
0.001,7,1,0.092120,0.553560,0.645680,0.960449,5.748997e-01
0.001,7,2,0.087457,0.553378,0.640835,0.965576,5.750044e-01
0.001,7,3,0.091148,0.553501,0.644649,0.958333,5.749334e-01
0.001,8,1,0.088722,0.553226,0.641948,0.961426,5.750913e-01
0.001,8,2,0.088506,0.551904,0.640411,0.962646,5.758521e-01
0.001,8,3,0.088369,0.551826,0.640195,0.961607,5.758973e-01
0.001,9,1,0.088239,0.551443,0.639682,0.962402,5.761181e-01
0.001,9,2,0.092009,0.551375,0.643384,0.955078,5.761572e-01
0.001,9,3,0.089618,0.550511,0.640128,0.958929,5.766553e-01
0.001,10,1,0.088387,0.550214,0.638601,0.960693,5.768265e-01
0.001,10,2,0.086350,0.550078,0.636428,0.961914,5.769050e-01
0.001,10,3,0.089901,0.549488,0.639389,0.958036,5.772451e-01
0.001,11,1,0.085153,0.549201,0.634353,0.962646,5.774111e-01
0.001,11,2,0.086997,0.548655,0.635652,0.961670,5.777265e-01
0.001,11,3,0.084958,0.548374,0.633333,0.965179,5.778886e-01
0.001,12,1,0.087714,0.547883,0.635597,0.961182,5.781727e-01
0.001,12,2,0.084100,0.547400,0.631500,0.965088,5.784519e-01
0.001,12,3,0.088395,0.547378,0.635773,0.962500,5.784643e-01
0.001,13,1,0.086494,0.547081,0.633576,0.961914,5.786362e-01
0.001,13,2,0.087956,0.546286,0.634241,0.962646,5.790967e-01
0.001,13,3,0.086124,0.545808,0.631932,0.961607,5.793735e-01
0.001,14,1,0.086461,0.545752,0.632213,0.958496,5.794059e-01
0.001,14,2,0.083973,0.545747,0.629720,0.966797,5.794085e-01
0.001,14,3,0.083929,0.544522,0.628450,0.964881,5.801192e-01
0.001,15,1,0.084889,0.544477,0.629366,0.965088,5.801450e-01
0.001,15,2,0.080860,0.544604,0.625464,0.965576,5.800713e-01
0.001,15,3,0.087108,0.544074,0.631182,0.958631,5.803790e-01
0.001,16,1,0.084579,0.543799,0.628378,0.964844,5.805383e-01
0.001,16,2,0.083525,0.543526,0.627051,0.965576,5.806972e-01
0.001,16,3,0.087447,0.542806,0.630252,0.959821,5.811156e-01
0.001,17,1,0.084529,0.542401,0.626930,0.963135,5.813507e-01
0.001,17,2,0.084830,0.542682,0.627512,0.963623,5.811877e-01
0.001,17,3,0.083470,0.542093,0.625563,0.962798,5.815297e-01
0.001,18,1,0.082850,0.541915,0.624765,0.963623,5.816332e-01
0.001,18,2,0.079578,0.541400,0.620978,0.967773,5.819329e-01
0.001,18,3,0.084497,0.540765,0.625263,0.960714,5.823024e-01
0.001,19,1,0.081937,0.540547,0.622484,0.963623,5.824297e-01
0.001,19,2,0.080116,0.540307,0.620423,0.965576,5.825696e-01
0.001,19,3,0.082468,0.540249,0.622718,0.962202,5.826029e-01
0.001,20,1,0.080268,0.539761,0.620030,0.966064,5.828873e-01
0.001,20,2,0.081949,0.539504,0.621453,0.965088,5.830375e-01
0.001,20,3,0.083540,0.538730,0.622270,0.959226,5.834887e-01
0.001,21,1,0.082557,0.538702,0.621258,0.963623,5.835054e-01
0.001,21,2,0.082790,0.538508,0.621298,0.962402,5.836185e-01
0.001,21,3,0.077455,0.537900,0.615355,0.966964,5.839735e-01
0.001,22,1,0.078420,0.537696,0.616116,0.965820,5.840926e-01
0.001,22,2,0.081113,0.537268,0.618381,0.963135,5.843424e-01
0.001,22,3,0.078601,0.537372,0.615973,0.963690,5.842820e-01
0.001,23,1,0.077158,0.537292,0.614450,0.963867,5.843286e-01
0.001,23,2,0.078415,0.535881,0.614296,0.965820,5.851535e-01
0.001,23,3,0.080058,0.536253,0.616311,0.966667,5.849357e-01
0.001,24,1,0.081434,0.535868,0.617302,0.962158,5.851610e-01
0.001,24,2,0.076938,0.535491,0.612430,0.967041,5.853816e-01
0.001,24,3,0.077267,0.535069,0.612336,0.967560,5.856291e-01
0.001,25,1,0.078947,0.535297,0.614245,0.965332,5.854952e-01
0.001,25,2,0.080009,0.534330,0.614338,0.964111,5.860620e-01
0.001,25,3,0.075646,0.533720,0.609366,0.969345,5.864196e-01
0.001,26,1,0.079742,0.533696,0.613438,0.964111,5.864335e-01
0.001,26,2,0.072448,0.533463,0.605912,0.971436,5.865700e-01
0.001,26,3,0.079430,0.533236,0.612665,0.961012,5.867035e-01
0.001,27,1,0.074601,0.532939,0.607540,0.968018,5.868776e-01
0.001,27,2,0.076132,0.532222,0.608354,0.965820,5.872987e-01
0.001,27,3,0.076653,0.532112,0.608765,0.965179,5.873629e-01
0.001,28,1,0.073908,0.531673,0.605581,0.968262,5.876210e-01
0.001,28,2,0.073854,0.531237,0.605091,0.971680,5.878771e-01
0.001,28,3,0.079063,0.531226,0.610289,0.958631,5.878836e-01
0.001,29,1,0.074395,0.530377,0.604772,0.968750,5.883830e-01
0.001,29,2,0.075202,0.530798,0.606000,0.966553,5.881354e-01
0.001,29,3,0.077303,0.529707,0.607009,0.963988,5.887775e-01
0.001,30,1,0.076830,0.529142,0.605972,0.966553,5.891105e-01
0.001,30,2,0.074608,0.529588,0.604196,0.966064,5.888473e-01
0.001,30,3,0.073678,0.529122,0.602800,0.969048,5.891222e-01
0.002,1,1,0.096158,0.527538,0.623696,0.973145,5.900562e-01
0.002,1,2,0.103747,0.527476,0.631223,0.963379,5.900925e-01
0.002,1,3,0.098174,0.526707,0.624881,0.966071,5.905462e-01
0.002,2,1,0.100920,0.526087,0.627007,0.961426,5.909128e-01
0.002,2,2,0.097221,0.525939,0.623159,0.969482,5.910003e-01
0.002,2,3,0.096904,0.525465,0.622369,0.966369,5.912806e-01
0.002,3,1,0.094992,0.524619,0.619611,0.967773,5.917810e-01
0.002,3,2,0.098579,0.524397,0.622976,0.961914,5.919121e-01
0.002,3,3,0.095767,0.524301,0.620068,0.969048,5.919692e-01
0.002,4,1,0.095376,0.523405,0.618781,0.966309,5.924996e-01
0.002,4,2,0.096917,0.523067,0.619984,0.965332,5.926999e-01
0.002,4,3,0.093587,0.522320,0.615907,0.967560,5.931427e-01
0.002,5,1,0.093038,0.522028,0.615066,0.971924,5.933163e-01
0.002,5,2,0.095106,0.521480,0.616586,0.966797,5.936412e-01
0.002,5,3,0.096358,0.520850,0.617208,0.963095,5.940152e-01
0.002,6,1,0.094875,0.520747,0.615621,0.966064,5.940769e-01
0.002,6,2,0.093249,0.520030,0.613279,0.965332,5.945030e-01
0.002,6,3,0.091052,0.519584,0.610637,0.971131,5.947677e-01
0.002,7,1,0.091678,0.519164,0.610841,0.965088,5.950180e-01
0.002,7,2,0.092858,0.518934,0.611792,0.968994,5.951546e-01
0.002,7,3,0.091554,0.518338,0.609891,0.972619,5.955095e-01
0.002,8,1,0.093227,0.517932,0.611159,0.966309,5.957512e-01
0.002,8,2,0.092028,0.517637,0.609665,0.968994,5.959269e-01
0.002,8,3,0.089725,0.516621,0.606345,0.971726,5.965331e-01
0.002,9,1,0.089314,0.516165,0.605478,0.970215,5.968052e-01
0.002,9,2,0.090116,0.516047,0.606163,0.968750,5.968754e-01
0.002,9,3,0.090872,0.515722,0.606594,0.964286,5.970693e-01
0.002,10,1,0.089068,0.514701,0.603769,0.969238,5.976793e-01
0.002,10,2,0.092461,0.514388,0.606849,0.964600,5.978663e-01
0.002,10,3,0.087611,0.514406,0.602017,0.970833,5.978557e-01
0.002,11,1,0.089637,0.513758,0.603394,0.966797,5.982434e-01
0.002,11,2,0.089256,0.512968,0.602224,0.968262,5.987158e-01
0.002,11,3,0.086909,0.512182,0.599091,0.969940,5.991866e-01
0.002,12,1,0.089673,0.512247,0.601920,0.966553,5.991478e-01
0.002,12,2,0.084300,0.511026,0.595325,0.971680,5.998800e-01
0.002,12,3,0.088608,0.511358,0.599966,0.967857,5.996807e-01
0.002,13,1,0.085834,0.510710,0.596544,0.969727,6.000692e-01
0.002,13,2,0.087019,0.509703,0.596722,0.968018,6.006740e-01
0.002,13,3,0.090292,0.509801,0.600093,0.965179,6.006149e-01
0.002,14,1,0.086780,0.509547,0.596327,0.967529,6.007677e-01
0.002,14,2,0.087279,0.508443,0.595722,0.966797,6.014313e-01
0.002,14,3,0.085793,0.507710,0.593502,0.969940,6.018725e-01
0.002,15,1,0.086215,0.507366,0.593580,0.968018,6.020795e-01
0.002,15,2,0.084366,0.507289,0.591655,0.969727,6.021260e-01
0.002,15,3,0.085637,0.506761,0.592398,0.969643,6.024437e-01
0.002,16,1,0.083754,0.506074,0.589828,0.972656,6.028576e-01
0.002,16,2,0.086138,0.505837,0.591975,0.968018,6.030004e-01
0.002,16,3,0.084844,0.505181,0.590025,0.968452,6.033962e-01
0.002,17,1,0.083349,0.504828,0.588178,0.972656,6.036092e-01
0.002,17,2,0.086445,0.504033,0.590478,0.967285,6.040897e-01
0.002,17,3,0.081786,0.504114,0.585901,0.970238,6.040403e-01
0.002,18,1,0.082604,0.503280,0.585884,0.971436,6.045445e-01
0.002,18,2,0.084835,0.503004,0.587839,0.967773,6.047112e-01
0.002,18,3,0.080540,0.502530,0.583069,0.969940,6.049984e-01
0.002,19,1,0.085161,0.502018,0.587178,0.964844,6.053081e-01
0.002,19,2,0.082416,0.501531,0.583947,0.971436,6.056026e-01
0.002,19,3,0.078989,0.501067,0.580057,0.973810,6.058836e-01
